Day,Month,Year,Decade,Country,Record_Type,Latitude,Longitude,Coord_Uncertainty_m,Vitality,Quantity,Quantity_Type,Habitat,Verification,Reference,Notes,Translated_Notes,Dataset_Name,Dataset_Key,Publishing_Org_Key,Institution_Code,Institution_ID,Rights_Holder,Access_Rights,License,Database
17,6,2006,2000s,Belgium,Observation,51.3334,3.20234,Unknown,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/41183598,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
3,11,2007,2000s,Belgium,Observation,51.14418,2.69011,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/45021111,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
31,5,2007,2000s,Belgium,Observation,51.2217865,2.937799931,NA,Unknown,64,Count,Unknown,Unconfirmed,NA,SampleSize=ind/m²;,NA,IMERS,5f39885a-4f4f-4e9d-b70f-764ae24375f6,c9bbf56f-982f-420d-91c1-bb3b25c5e9c7,MARBIOL Ugent,NA,NA,NA,NA,OBIS
28,11,2007,2000s,Belgium,Observation,51.2217865,2.937799931,NA,Unknown,95.5414,Unknown,Unknown,Unconfirmed,NA,SampleSize=ind/m²;,NA,IMERS,5f39885a-4f4f-4e9d-b70f-764ae24375f6,b1280a9a-2379-4983-a6bb-a3979a7fe1bb,MARBIOL Ugent,NA,NA,NA,NA,OBIS
14,12,2008,2000s,Belgium,Observation,51.11543,2.6138,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/41213229,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
24,11,2008,2000s,Belgium,Observation,51.1171,2.61569,Unknown,Unknown,30,Count,NA,Probable,https://waarnemingen.be/observation/41087110,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
11,11,2008,2000s,Belgium,Observation,51.11775,2.61925,100,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/40993159,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
8,12,2008,2000s,Belgium,Observation,51.11918,2.6199,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/41905982,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
18,10,2008,2000s,Belgium,Observation,51.11955,2.61949,100,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/40581850,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
21,11,2008,2000s,Belgium,Observation,51.22809,2.92271,99,Unknown,1000,Count,NA,Unconfirmed,https://waarnemingen.be/observation/41059376,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
31,8,2008,2000s,Belgium,Observation,51.23134,2.95067,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/41780436,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
26,2,2008,2000s,Belgium,Observation,51.24825196,2.729145965,NA,Unknown,Unknown,NA,Unknown,Unconfirmed,NA,NA,NA,Epibenthos and demersal fish monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea,ed8c04c5-199d-4486-8886-698c9b870415,a2912761-3c61-4152-971f-6dc6a5eaf68f,NA,NA,NA,NA,NA,OBIS
26,2,2008,2000s,Belgium,Observation,51.248252,2.729146,Unknown,Unknown,Unknown,NA,NA,Unconfirmed,NA,NA,NA,Epibenthos and demersal fish monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea,e5306688-5202-45b9-b858-e4683f3ccfab,ac07bb5e-8a5c-493f-b183-9d7ad8d54cff,NA,NA,NA,NA,http://creativecommons.org/licenses/by/4.0/legalcode,GBIF
25,7,2008,2000s,Belgium,Observation,51.27727,3.21075,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40158564,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
11,10,2008,2000s,Belgium,Observation,51.30277,3.20415,100,Unknown,150,Count,NA,Probable,https://waarnemingen.be/observation/40561938,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
21,8,2008,2000s,Belgium,Observation,51.30948,3.20655,100,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40217919,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
8,10,2008,2000s,Belgium,Observation,51.33215,3.17639,100,Unknown,2,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40519330,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
29,8,2008,2000s,Belgium,Observation,51.33335,3.20346,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40238999,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
28,7,2008,2000s,Belgium,Observation,51.33351,3.2032,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40165675,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
24,11,2008,2000s,Belgium,Observation,51.33538,3.17857,Unknown,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/41088825,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
19,10,2008,2000s,Belgium,Observation,51.34402,3.23972,100,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/40597888,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
18,8,2008,2000s,Belgium,Observation,51.34498,3.23882,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40213075,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
16,2,2009,2000s,Belgium,Observation,51.09501,2.56042,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/41813299,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
8,10,2009,2000s,Belgium,Observation,51.13041,2.65552,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/44890390,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
1,10,2009,2000s,Belgium,Observation,51.1433,2.7383,30,Unknown,Unknown,NA,NA,Unconfirmed,DOI: http://dx.doi.o,NA,NA,"Alien macro-invertebrates in Flanders, Belgium",3c428404-893c-44da-bb4a-6c19d8fb676a,05c249d0-dfa0-11d8-b22e-b8a03c50a862,INBO,NA,Ugent; Aquatic ecolo,http://www.inbo.be/en/norms-for-data-use,http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF
4,9,2009,2000s,Belgium,Observation,51.14506,2.7394,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/44495541,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
24,10,2009,2000s,Belgium,Observation,51.15434,2.7224,Unknown,Unknown,1000,Count,NA,Probable,https://waarnemingen.be/observation/45109791,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
14,11,2009,2000s,Belgium,Observation,51.22327,2.94137,10,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/72508998,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
26,4,2009,2000s,Belgium,Observation,51.22635,2.94322,Unknown,Unknown,1000,Count,NA,Probable,https://waarnemingen.be/observation/42704772,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
1,10,2009,2000s,Belgium,Observation,51.22904,2.94584,30,Unknown,Unknown,NA,NA,Unconfirmed,DOI: http://dx.doi.o,NA,NA,"Alien macro-invertebrates in Flanders, Belgium",3c428404-893c-44da-bb4a-6c19d8fb676a,05c249d0-dfa0-11d8-b22e-b8a03c50a862,INBO,NA,Ugent; Aquatic ecolo,http://www.inbo.be/en/norms-for-data-use,http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF
9,7,2009,2000s,Belgium,Observation,51.23151,2.92399,Unknown,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/43801974,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
